T	M	chi	C	U4
2.000	0.918200	0.243743	0.651610	0.656839
2.020	0.903619	0.543042	0.755067	0.650287
2.040	0.881381	0.492564	0.936730	0.646473
2.060	0.904275	0.235194	0.591447	0.656246
2.080	0.889025	0.466027	0.724381	0.650301
2.100	0.875675	0.537915	0.910200	0.645923
2.120	0.836944	0.808631	1.014099	0.633909
2.140	0.849656	0.647981	1.005895	0.639667
2.160	0.869956	0.426775	0.760938	0.648356
2.180	0.849938	0.472947	0.789147	0.644153
2.200	0.847281	0.538268	0.902306	0.640934
2.220	0.809381	1.054444	1.031860	0.624464
2.240	0.716981	1.899916	1.386963	0.578572
2.260	0.807475	0.734705	0.977920	0.629484
2.280	0.796256	1.115823	1.057999	0.619042
2.300	0.779294	1.027116	0.995250	0.619076
2.320	0.718444	1.578009	1.223174	0.586642
2.340	0.733706	1.077434	1.061055	0.601761
2.360	0.755269	1.076519	1.108338	0.607639
2.380	0.742719	1.272099	1.094618	0.599671
2.400	0.658494	1.786527	1.394732	0.545363
2.420	0.694150	1.372797	1.077974	0.583264
2.440	0.726788	1.030744	1.028490	0.603306
2.460	0.705856	1.516503	1.176556	0.583254
2.480	0.599844	1.788462	1.157509	0.515862
2.500	0.582269	1.912290	1.104254	0.505292
