T	M	chi	C	U4
2.000	0.694392	11.368428	1.956329	0.562644
2.020	0.908436	0.197072	0.527246	0.664263
2.040	0.772359	5.798901	2.079449	0.598920
2.060	0.863984	1.514077	1.012614	0.650296
2.080	0.798200	4.396770	1.364903	0.623659
2.100	0.691623	11.027753	1.947367	0.566696
2.120	0.572553	11.551587	2.122675	0.474147
2.140	0.608028	8.790534	2.190933	0.501487
2.160	0.674016	5.629061	1.682824	0.572292
2.180	0.809431	1.539700	1.282889	0.643438
2.200	0.844053	0.619288	0.895660	0.657306
2.220	0.254227	2.822671	0.626224	0.221926
2.240	0.793102	0.963486	1.038354	0.650520
2.260	0.798113	0.804702	0.894012	0.653289
2.280	0.474808	4.662427	0.885027	0.516494
2.300	0.761519	1.058392	1.135316	0.647283
2.320	0.466002	12.002541	2.240102	0.347026
2.340	0.758411	1.040275	0.853633	0.646689
2.360	0.714411	1.447112	0.993613	0.636316
2.380	0.237063	2.763939	0.808686	0.227293
2.400	0.520425	6.405704	1.894364	0.468486
2.420	0.447266	4.848310	1.107378	0.460401
2.440	0.282547	1.938517	0.735628	0.412504
2.460	0.420438	4.019104	0.862914	0.471887
2.480	0.265553	2.506403	0.578383	0.374324
2.500	0.418053	4.504769	1.469210	0.383271
