T	M	chi	C	U4
2.000	0.154931	2.739054	11.274037	0.604762
2.020	0.018550	0.184474	7.188217	0.409585
2.040	0.051294	3.033097	11.971421	0.029155
2.060	0.168084	1.756145	8.725130	0.625122
2.080	0.169182	0.659364	9.698217	0.653623
2.100	0.120916	1.291178	7.813886	0.613990
2.120	0.109003	1.394690	11.559679	0.590055
2.140	0.052540	0.744209	6.399693	0.512775
2.160	0.057937	0.593866	4.271951	0.566865
2.180	0.081694	1.155214	4.974583	0.558422
2.200	0.200189	1.410233	8.734591	0.642973
2.220	0.084533	2.104038	5.928109	0.517152
2.240	0.123133	1.263611	5.495464	0.604816
2.260	0.090198	2.218689	7.256536	0.556214
2.280	0.069564	0.411498	6.996651	0.607400
2.300	0.075063	0.834435	3.905280	0.559468
2.320	0.040124	1.197430	6.937166	0.392483
2.340	0.072877	0.423539	6.927508	0.609855
2.360	0.024315	0.340204	3.115214	0.399749
2.380	0.072801	0.620559	3.130906	0.591271
2.400	0.027705	0.537567	2.874900	0.209910
2.420	0.033128	1.105029	4.381484	0.096537
2.440	0.089104	1.949466	4.142115	0.473577
2.460	0.125363	0.897874	4.713186	0.623538
2.480	0.029910	0.347203	4.175305	0.462441
2.500	0.016185	0.145884	3.971851	0.370225
